prompt_type;temperature;generation;task
few_shot;1;2;Check the classifications of cells in the current batch and validate their correctness, correcting any misclassifications.
few_shot;1;2;Examine the reference range for a specific cell type and determine if it's within the expected limits.
few_shot;1;2;Review the classified images of a particular cell type, assessing the confidence level and verifying if the displayed image corresponds to the selected cell type.
few_shot;1;2;"Mark a batch of cells as ""Correct"" or ""Incorrect"" with explanations for the errors, using the ""Correct"" option to adjust the model's accuracy."
few_shot;1;2;Browse the dashboard to understand the overall performance of the system in identifying cell types, looking for patterns or areas for model improvement.
few_shot;1;5;"Check the classification of cells in the ""classified-cells-correct.png"" image and verify that the system provides accurate explanations for each cell type."
few_shot;1;5;"Identify and correct any incorrect classifications in the ""classified-cells-wrong.png"" image, providing valid reasons for the correction."
few_shot;1;5;"Review the table showing the type of cell, number of detected cells, reference range, and classification of their quantity in the ""dashboard.png"" image, ensuring that the information is accurate and helpful for a doctor specialized in rhinocytology."
few_shot;1;5;"In the ""classified-cells-wrong.png"" image, select a cell that has been misclassified and reclassify it, providing a justification for the correction."
few_shot;1;5;"Verify that the system allows you to mark the classification of cells as “Correct” or “Incorrect” and correct any incorrect classifications in the ""classified-cells-wrong.png"" image."
few_shot;1;5;Check that the system provides a confidence level for each classified cell and that this information is helpful in evaluating the accuracy of the classification.
few_shot;1;9;Check the classification of class ‘‘muciparous’’ cells and correct errors, if any.
few_shot;1;9;Identify cells misclassified in class ‘‘ciliated’’ and correct misclassifications and explanations, if any.
few_shot;1;9;Review the table of test results and answer the following question: What types of cells are included in the reference range?
few_shot;1;9;Investigate a cell marked as incorrect and try to understand why the automatic classification was wrong. Provide a possible explanation for the mistake.
few_shot;1;9;Compare the classification of 5 cells selected at random and verify that the system provides accurate results.
few_shot;1;9;Access the classified cell images and select a cell with low confidence level to understand why the model was not confident in its classification.
few_shot;0,9;1;In the table displaying test results, check the classification of a ciliated cell and mark it as “Incorrect” if necessary. Provide a reason for correcting the classification.
few_shot;0,9;1;Evaluate the accuracy of the system in identifying metaplastic cells. Correct any misclassifications, if found, and explain the reason for the correction.
few_shot;0,9;1;Review the confidence level of classified cell images and provide feedback on the accuracy of images with low confidence levels.
few_shot;0,9;1;Validate the system's classification of a muciparous cell. If incorrect, correct the classification and explain the reason for the correction.
few_shot;0,9;1;Analyze the reference range provided for a specific cell type and verify that it is accurate.
few_shot;0,9;1;Examine the classified cell images and confirm that the images are properly categorized by confidence level.
few_shot;0,9;2;Check the classification of class ‘‘muciparous’’ cells in the currently displayed results table and correct errors, if any.
few_shot;0,9;2;Identify cells misclassified in class ‘‘ciliated’’ in the classified cell images and correct misclassifications and explanations, if any.
few_shot;0,9;2;Browse through the classified cell images categorized by confidence level (low, medium, high) and assess the system's accuracy.
few_shot;0,9;2;Validate the automatic classification provided by the system for a random selection of cells and correct any incorrect classifications.
few_shot;0,9;2;Compare the reference range provided for each cell type in the test results table with the actual number of detected cells and check for discrepancies.
